OrderID CustomerID EmployeeID OrderDate ShipperID
int int int string int
10249 81 6 1996-07-05 1
10250 34 4 1996-07-08 2
10251 84 3 1996-07-08 1
10252 76 4 1996-07-09 2
10253 34 3 1996-07-10 2
10254 14 5 1996-07-11 2
10255 68 9 1996-07-12 3
10256 88 3 1996-07-15 2
10257 35 4 1996-07-16 3
10258 20 1 1996-07-17 1
10259 13 4 1996-07-18 3
10260 55 4 1996-07-19 1
10261 61 4 1996-07-19 2
10262 65 8 1996-07-22 3
10263 20 9 1996-07-23 3
10264 24 6 1996-07-24 3
10265 7 2 1996-07-25 1
10266 87 3 1996-07-26 3
10267 25 4 1996-07-29 1
10268 33 8 1996-07-30 3
10269 89 5 1996-07-31 1
